Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Aaztar-ghola,4    ,Humanoid,N/A,Medium,CE,Any,FEF p.5,,
Abjurer,9    ,Humanoid,Any,Medium,Any,Any,VGtM p.209,,
Acolyte, 1/4,Humanoid,Any,Medium,Any,Any,MM p.342,,
Ambush drake, 1/2,Dragon,N/A,Medium,Un,Any,HotD p.88,,
Amphoron of yothri juggernaut,6    ,Construct,N/A,Large,N,Any,FEF p.10,,
Amphoron of yothri warrior,2    ,Construct,N/A,Medium,N,Any,FEF p.10,,
Amphoron of yothri worker, 1/2,Construct,N/A,Small,N,Any,FEF p.9,,
Animated armor,1    ,Construct,Animated object,Medium,Un,Any,MM p.19,,
Apprentice wizard, 1/4,Humanoid,Any,Medium,Any,Any,VGtM p.209,,
Arcanaloth,12    ,Fiend,Yugoloth,Medium,NE,Any,MM p.313,,
Archdruid,12    ,Humanoid,Any,Medium,Any,Any,VGtM p.210,,
Archer,3    ,Humanoid,Any,Medium,Any,Any,VGtM p.210,,
Archmage,12    ,Humanoid,Any,Medium,Any,Any,MM p.342,,
Artificer of yothri,5    ,Aberration,N/A,Medium,CE,Any,FEF p.15,,
Assassin,8    ,Humanoid,Any,Medium,Non-G,Any,MM p.343,,
Astral moth, 1/8,Monstrosity,N/A,Large,Any-N,Any,FEF p.18,,
Aurochs,2    ,Beast,N/A,Large,Un,Any,VGtM p.207,,
"Baba yaga's horsemen, base",11    ,Fey,N/A,Medium,LN,Any,ToB p.29-30,,
Banderhobb,5    ,Monstrosity,N/A,Large,NE,Any,VGtM p.122,,
Bandit, 1/8,Humanoid,Any,Medium,Non-L,Any,MM p.343,,
Bandit captain,2    ,Humanoid,Any,Medium,Non-L,Any,MM p.344,,
Bandit lord,4    ,Humanoid,Any,Medium,Any-C,Any,ToB p.418,,
Bard,2    ,Humanoid,Any,Medium,Any,Any,VGtM p.211,,
Barghest,4    ,Fiend,Shapechanger,Large,NE,Any,VGtM p.123,,
Beholder zombie,5    ,Undead,N/A,Large,NE,Any,MM p.316,,
Berserker,2    ,Humanoid,Any,Medium,Any-C,Any,MM p.344,,
Black knight commander,5    ,Humanoid,Any,Medium,LE,Any,ToB p.418-419,,
Blackguard,8    ,Humanoid,Any,Medium,Any-E,Any,VGtM p.211,,
Blood hawk, 1/8,Beast,N/A,Small,Un,Any,MM p.319,,
Blue slaad,7    ,Aberration,N/A,Large,CN,Any,MM p.276,,
Bodak,6    ,Undead,N/A,Medium,CE,Any,VGtM p.127,,
Bone collective,8    ,Undead,N/A,Small,CE,Any,ToB p.39,,
Broodiken,1    ,Construct,N/A,Tiny,N,Any,ToB p.45,,
Broom of animated attack, 1/4,Construct,N/A,Small,Un,Any,CoS p.226,,
Brume,6    ,Aberration,N/A,Large,NE,Any,FEF p.38,,
Cadaver, 1/2,Undead,N/A,Medium,CE,Any,FEF p.40,,
Cadaver lord,3    ,Undead,N/A,Medium,CE,Any,FEF p.41,,
Chained angel,8    ,Celestial,N/A,Medium,NE,Any,ToB p.20,,
Champion,9    ,Humanoid,Any,Medium,Any,Any,VGtM p.212,,
Cimota,2    ,Undead,N/A,Medium,LE,Any,FEF p.59,,
Cimota guardian,4    ,Undead,N/A,Medium,LE,Any,FEF p.59,,
City watch captain,4    ,Humanoid,Any,Medium,Any-L,Any,ToB p.419-420,,
Clay golem,9    ,Construct,N/A,Large,Un,Any,MM p.168,,
Clockwork abomination,5    ,Fiend,Devil/construct,Large,LE,Any,ToB p.59,,
Clockwork beetle, 1/2,Construct,N/A,Tiny,Un,Any,ToB p.60,,
Clockwork beetle swarm,3    ,Construct,N/A,Large (tiny),N,Any,ToB p.61,,
Clockwork hound,2    ,Construct,N/A,Medium,Un,Any,ToB p.62,,
Clockwork huntsman,3    ,Construct,N/A,Medium,Un,Any,ToB p.63,,
Clockwork myrmidon,6    ,Construct,N/A,Large,Un,Any,ToB p.64,,
Clockwork watchman, 1/2,Construct,N/A,Medium,Un,Any,ToB p.65,,
Clockwork weaving spider,1    ,Construct,N/A,Tiny,Un,Any,ToB p.66,,
Commoner,0    ,Humanoid,Any,Medium,Any,Any,MM p.345,,
Conjurer,6    ,Humanoid,Any,Medium,Any,Any,VGtM p.212,,
Corpse Mound,11    ,Undead,N/A,Huge,NE,Any,ToB p.69,,
Corrupted ogre chieftain,6    ,Giant,N/A,Large,CE,Any,ToB p.423-424,,
Cow (rothé), 1/4,Beast,N/A,Large,Un,Any,VGtM p.207,,
Cranium rat,0    ,Beast,N/A,Tiny,LE,Any,VGtM p.133,,
Crawling claw,0    ,Undead,N/A,Tiny,NE,Any,MM p.44,,
Cult fanatic,2    ,Humanoid,Any,Medium,Non-G,Any,MM p.345,,
Cultist, 1/8,Humanoid,Any,Medium,Non-G,Any,MM p.345,,
Cyclops,6    ,Giant,N/A,Huge,CN,Any,MM p.45,,
Darnoc,2    ,Undead,N/A,Medium,LE,Any,FEF p.76,,
Death knight,17    ,Undead,N/A,Medium,CE,Any,MM p.47,,
Death slaad,10    ,Aberration,Shapechanger,Medium,CE,Any,MM p.278,,
Deathwisp,7    ,Undead,N/A,Medium,NE,Any,ToB p.72,,
Deep scion,3    ,Humanoid,Shapechanger,Medium,NE,Any,VGtM p.135,,
Demonic knight,5    ,Fiend,N/A,Medium,CE,Any,FEF p.82,,
Deva,10    ,Celestial,Angel,Medium,LG,Any,MM p.16,,
Devilbound gnomish prince,9    ,Humanoid,Gnome,Small,Any-E,Any,ToB p.420,,
Diviner,8    ,Humanoid,Any,Medium,Any,Any,VGtM p.213,,
Dragonclaw,1    ,Humanoid,Human,Medium,NE,Any,RoT p.89,,
Dragonfang,5    ,Humanoid,Human,Medium,NE,Any,RoT p.89,,
Dragonsoul,7    ,Humanoid,Human,Medium,NE,Any,RoT p.89,,
Dragonwing,2    ,Humanoid,Human,Medium,NE,Any,RoT p.90,,
Druid,2    ,Humanoid,Any,Medium,Any,Any,MM p.346,,
Dwarven ringmage,7    ,Humanoid,Dwarf,Medium,Any,Any,ToB p.420-421,,
Ectoplasm,2    ,Ooze,N/A,Large,Un,Any,FEF p.90,,
Elemental locus,17    ,Elemental,N/A,Gargantuan,N,Any,ToB p.169,,
Elvish veteran archer,3    ,Humanoid,Elf,Medium,CG/CN,Any,ToB p.422,,
Emerald order cult leader,8    ,Humanoid,Any,Medium,Any-E,Any,ToB p.421-422,,
Empyrean,23    ,Celestial,Titan,Huge,CG/NE,Any,MM p.130,,
Enchanter,5    ,Humanoid,Any,Medium,Any,Any,VGtM p.213,,
Evoker,9    ,Humanoid,Any,Medium,Any,Any,VGtM p.214,,
Eye golem,11    ,Construct,N/A,Large,Un,Any,ToB p.233,,
Fellforged,5    ,Construct,Undead,Medium,LE,Any,ToB p.182,,
Fext,6    ,Undead,N/A,Medium,Any,Any,ToB p.183,,
Fidele angel,5    ,Celestial,N/A,Medium,LG,Any,ToB p.21,,
Firenewt warlock of imix,1    ,Humanoid,Firenewt,Medium,NE,Any,VGtM p.143,,
Firenewt warrior, 1/2,Humanoid,Firenewt,Medium,NE,Any,VGtM p.142,,
Flagstone golem,7    ,Construct,N/A,Large,Un,Any,FEF p.126,,
Flesh golem,5    ,Construct,N/A,Medium,Un,Any,MM p.169,,
Flind,9    ,Humanoid,Gnoll,Medium,CE,Any,VGtM p.153,,
Flutterflesh,12    ,Undead,N/A,Large,CE,Any,ToB p.203,,
Flying sword, 1/4,Construct,Animated object,Small,Un,Any,MM p.20,,
Four-armed gargoyle,4    ,Monstrosity,N/A,Medium,CE,Any,FEF p.113,,
Furnace golem,9    ,Construct,N/A,Large,Un,Any,FEF p.127,,
Gearforged templar,6    ,Humanoid,Gearforged,Medium,LN,Any,ToB p.210,,
Ghost knight,6    ,Undead,N/A,Medium,LE,Any,ToB p.423,,
Giant ant,2    ,Beast,N/A,Large,Un,Any,ToB p.23,,
Giant ant queen,4    ,Beast,N/A,Large,Un,Any,ToB p.23,,
Giant horsefly, 1/2,Beast,N/A,Large,Un,Any,FEF p.146,,
Giant poisonous snake, 1/4,Beast,N/A,Medium,Un,Any,MM p.327,,
Giant strider,1    ,Monstrosity,N/A,Large,NE,Any,VGtM p.143,,
Githyanki knight,8    ,Humanoid,Gith,Medium,LE,Any,MM p.160,,
Githyanki warrior,3    ,Humanoid,Gith,Medium,LE,Any,MM p.160,,
Githzerai monk,2    ,Humanoid,Gith,Medium,LN,Any,MM p.161,,
Githzerai zerth,6    ,Humanoid,Gith,Medium,LN,Any,MM p.161,,
Gladiator,5    ,Humanoid,Any,Medium,Any,Any,MM p.346,,
Gnarljak,6    ,Construct,N/A,Small,Un,Any,ToB p.229,,
Gnoll, 1/2,Humanoid,Gnoll,Medium,CE,Any,MM p.163,,
Gnoll fang of yeenoghu,4    ,Fiend,Gnoll,Medium,CE,Any,MM p.163,,
Gnoll flesh gnawer,1    ,Humanoid,Gnoll,Medium,CE,Any,VGtM p.154,,
Gnoll havoc runner,3    ,Humanoid,Gnoll,Medium,CE,Any,ToB p.230,,
Gnoll hunter, 1/2,Humanoid,Gnoll,Medium,CE,Any,VGtM p.154,,
Gnoll pack lord,2    ,Humanoid,Gnoll,Medium,CE,Any,MM p.163,,
Gnoll witherling, 1/4,Undead,N/A,Medium,CE,Any,VGtM p.155,,
Goat-man,3    ,Monstrosity,N/A,Medium,CE,Any,ToB p.231,,
Gray slaad,9    ,Aberration,Shapechanger,Medium,CN,Any,MM p.277,,
Green guardian gargoyle,1    ,Monstrosity,N/A,Medium,CE,Any,FEF p.115,,
Green slaad,8    ,Aberration,Shapechanger,Large,CN,Any,MM p.277,,
Grim jester,11    ,Undead,N/A,Medium,CE,Any,ToB p.240,,
Guard, 1/8,Humanoid,Any,Medium,Any,Any,MM p.347,,
Guard drake,2    ,Dragon,N/A,Medium,Un,Any,RoT p.90; VGtM p.158,,
Guardian portrait,1    ,Construct,N/A,Medium,Un,Any,CoS p.227,,
Half-black dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-blue dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-brass dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-bronze dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-copper dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-gold dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-green dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-ogre (ogrillon),1    ,Giant,N/A,Large,CE,Any,MM p.238,,
Half-red dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-silver dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Half-white dragon veteran,5    ,Humanoid,Any,Medium,Any,Any,MM p.180,,
Hanged man, 1/2,Undead,N/A,Medium,CE,Any,FEF p.139,,
Hawk,0    ,Beast,N/A,Tiny,Un,Any,MM p.330,,
Helmed horror,4    ,Construct,N/A,Medium,N,Any,MM p.183,,
Herald of blood,12    ,Fiend,N/A,Huge,NE,Any,ToB p.248,,
Herald of darkness,7    ,Fiend,N/A,Large,NE,Any,ToB p.249,,
High cimota,6    ,Undead,N/A,Medium,LE,Any,FEF p.60,,
Hoard golem,12    ,Construct,N/A,Huge,Un,Any,ToB p.234,,
Homunculus,0    ,Construct,N/A,Tiny,N,Any,MM p.188,,
Hulking whelp,5    ,Fey,Shapechanger,Huge (small),CN,Any,ToB p.252,,
Illusionist,3    ,Humanoid,Any,Medium,Any,Any,VGtM p.214,,
Iron golem,16    ,Construct,N/A,Large,Un,Any,MM p.170,,
Knight,3    ,Humanoid,Any,Medium,Any,Any,MM p.347,,
Kobold, 1/8,Humanoid,Kobold,Small,LE,Any,MM p.195,,
Kobold alchemist,2    ,Humanoid,Kobold,Small,LE,Any,ToB p.261-262,,
Kobold chieftain,4    ,Humanoid,Kobold,Small,LE,Any,ToB p.262-263,,
Kobold dragonshield,1    ,Humanoid,Kobold,Small,LE,Any,VGtM p.165,,
Kobold inventor, 1/4,Humanoid,Kobold,Small,LE,Any,VGtM p.166,,
Kobold scale sorcerer,1    ,Humanoid,Kobold,Small,LE,Any,VGtM p.167,,
Kobold trapsmith,1    ,Humanoid,Kobold,Small,LE,Any,ToB p.263-264,,
"Kobold, winged", 1/4,Humanoid,Kobold,Small,LE,Any,MM p.195,,
Koschei,17    ,Fiend,N/A,Medium,NE,Any,ToB p.266-267,,
Kraken priest,5    ,Humanoid,Any,Medium,Any-E,Any,VGtM p.215,,
Kurok-spirit,1    ,Fiend,N/A,Large,CN,Any,FEF p.159,,
Leng spider,6    ,Aberration,N/A,Huge,CE,Any,FEF p.162,,
Lesser shadow, 1/8,Undead,N/A,Medium,CE,Any,FEF p.208,,
Lich hound,4    ,Undead,N/A,Medium,NE,Any,ToB p.274,,
Likho,6    ,Monstrosity,N/A,Medium,CE,Any,ToB p.275,,
Liosalfar,8    ,Elemental,N/A,Large,N,Any,ToB p.277,,
Lizard,0    ,Beast,N/A,Tiny,Un,Any,MM p.332,,
Mage,6    ,Humanoid,Any,Medium,Any,Any,MM p.347,,
Map mimic, 1/4,Aberration,Shapechanger,Tiny,N,Any,ToB p.289,,
Margoyle,5    ,Monstrosity,N/A,Medium,CE,Any,FEF p.116,,
Martial arts adept,3    ,Humanoid,Any,Medium,Any,Any,VGtM p.216,,
Mask wight,13    ,Undead,N/A,Medium,NE,Any,ToB p.285,,
Master thief,5    ,Humanoid,Any,Medium,Any,Any,VGtM p.216,,
Mavka,12    ,Undead,Fey,Medium,CE,Any,ToB p.286,,
Mezzoloth,5    ,Fiend,Yugoloth,Medium,NE,Any,MM p.313,,
Midnight Peddler, 1/2,Fey,N/A,Medium,N,Any,FEF p.170,,
Mindrot thrall,3    ,Plant,N/A,Medium,N,Any,ToB p.290,,
Monolith champion,8    ,Construct,N/A,Large,Un,Any,ToB p.294,,
Monolith footman,3    ,Construct,N/A,Large,Un,Any,ToB p.295,,
Mordant snare,15    ,Aberration,N/A,Gargantuan,CE,Any,ToB p.296,,
Necromancer,9    ,Humanoid,Any,Medium,Any,Any,VGtM p.217,,
Nihilethic zombie,1    ,Undead,N/A,Medium,NE,Any,ToB p.9-10,,
Noble, 1/8,Humanoid,Any,Medium,Any,Any,MM p.348,,
Noctiny,2    ,Humanoid,Noctiny,Medium,NE,Any,ToB p.308,,
Nycaloth,9    ,Fiend,Yugoloth,Large,NE,Any,MM p.314,,
Oculo swarm,4    ,Aberration,N/A,Large (tiny),NE,Any,ToB p.309,,
Ogre,2    ,Giant,N/A,Large,CE,Any,MM p.237,,
Ogre zombie,2    ,Undead,N/A,Large,NE,Any,MM p.316,,
Orc, 1/2,Humanoid,Orc,Medium,CE,Any,MM p.246,,
Orc blade of ilneval,4    ,Humanoid,Orc,Medium,CE,Any,VGtM p.183,,
Orc claw of luthic,2    ,Humanoid,Orc,Medium,CE,Any,VGtM p.183,,
Orc eye of gruumsh,2    ,Humanoid,Orc,Medium,CE,Any,MM p.247,,
Orc hand of yurtrus,2    ,Humanoid,Orc,Medium,CE,Any,VGtM p.184,,
Orc nurtured one of yurtrus, 1/2,Humanoid,Orc,Medium,CE,Any,VGtM p.184,,
Orc red fang of shargaas,3    ,Humanoid,Orc,Medium,CE,Any,VGtM p.185,,
Orc war chief,4    ,Humanoid,Orc,Medium,CE,Any,MM p.246,,
Origami warrior, 1/8,Construct,N/A,Medium,Un,Any,FEF p.180,,
Orog,2    ,Humanoid,Orc,Medium,CE,Any,MM p.247,,
Ostinato,4    ,Aberration,N/A,Medium,CN,Any,ToB p.312,,
Paper drake,2    ,Dragon,N/A,Small,N,Any,ToB p.154,,
Phantom warrior,3    ,Undead,N/A,Medium,Any,Any,CoS p.235,,
Planetar,16    ,Celestial,Angel,Large,LG,Any,MM p.17,,
Poisonous snake, 1/8,Beast,N/A,Tiny,Un,Any,MM p.334,,
Poltergeist (specter variant),2    ,Undead,N/A,Medium,CE,Any,MM p.279,,
Priest,2    ,Humanoid,Any,Medium,Any,Any,MM p.348,,
Ratfolk, 1/4,Humanoid,Ratfolk,Small,N,Any,ToB p.320,,
Ratfolk rogue,1    ,Humanoid,Ratfolk,Small,N,Any,"ToB p.320, 424",,
Ravenfolk doom croaker,5    ,Humanoid,Kenku,Medium,N,Any,ToB p.324,,
Ravenfolk scout, 1/2,Humanoid,Kenku,Medium,N,Any,ToB p.322-323,,
Ravenfolk warrior,3    ,Humanoid,Kenku,Medium,N,Any,ToB p.323-324,,
Red jester,5    ,Undead,N/A,Medium,CN,Any,FEF p.192,,
Red slaad,5    ,Aberration,N/A,Large,CN,Any,MM p.276,,
Revenant,5    ,Undead,N/A,Medium,N,Any,MM p.259,,
Rift swine,5    ,Aberration,N/A,Large,CN,Any,ToB p.326,,
Roc,11    ,Monstrosity,N/A,Gargantuan,Un,Any,MM p.260,,
Rug of smothering,2    ,Construct,Animated object,Large,Un,Any,MM p.20,,
Rust drake,8    ,Dragon,N/A,Medium,CE,Any,ToB p.155,,
Salt golem,10    ,Construct,N/A,Large,Un,Any,ToB p.235,,
Sandman,5    ,Celestial,N/A,Medium,CN,Any,ToB p.333,,
Scorpion cultist, 1/2,Humanoid,Any,Medium,N,Any,ToB p.425,,
Scout, 1/2,Humanoid,Any,Medium,Any,Any,MM p.349,,
Screaming devilkin, 1/4,Fiend,N/A,Small,LE,Any,FEF p.197,,
Sepulchral guardian,3    ,Construct,N/A,Medium,Un,Any,FEF p.206,,
Shadow fey, 1/4,Humanoid,Elf,Medium,LE,Any,ToB p.170-171,,
Shadow fey duelist,6    ,Humanoid,Elf,Medium,LE,Any,ToB p.170-172,,
Shadow fey enchantress,7    ,Humanoid,Elf,Medium,LE,Any,"ToB p.170, 172-173",,
Shadow fey forest hunter,5    ,Humanoid,Elf,Medium,LE,Any,"ToB p.170, 173",,
Shadow fey hunter,4    ,Humanoid,Elf,Large,NE,Any,"ToB p.170, 174",,
Shadow rat,0    ,Undead,N/A,Tiny,Un,Any,FEF p.191,,
Shoggoth,19    ,Aberration,N/A,Huge,CN,Any,ToB p.347,,
Shoosuva,8    ,Fiend,Demon,Large,CE,Any,VGtM p.137,,
Shroud, 1/8,Undead,N/A,Medium,NE,Any,ToB p.348,,
Skeleton, 1/4,Undead,N/A,Medium,LE,Any,MM p.272,,
Skeleton warrior,14    ,Undead,N/A,Medium,NE,Any,FEF p.210,,
Skelzi,1    ,Humanoid,N/A,Medium,CE,Any,FEF p.213,,
Skitterhaunt,4    ,Ooze,N/A,Large,Un,Any,ToB p.352,,
Skulk, 1/2,Humanoid,N/A,Medium,CN,Any,FEF p.214,,
Slaad tadpole, 1/8,Aberration,N/A,Tiny,CN,Any,MM p.276,,
Slow storm,15    ,Elemental,N/A,Huge,CN,Any,ToB p.353,,
Smaragdine golem,14    ,Construct,N/A,Large,Un,Any,ToB p.236,,
Solar,21    ,Celestial,Angel,Large,LG,Any,MM p.18,,
Soul reaper,16    ,Undead,N/A,Large,NE,Any,FEF p.216,,
Spawn of kyuss,5    ,Undead,N/A,Medium,CE,Any,VGtM p.192,,
Specter,1    ,Undead,N/A,Medium,CE,Any,MM p.279,,
Spectral guardian,6    ,Undead,N/A,Medium,NE,Any,ToB p.358,,
Spectral troll,4    ,Undead,N/A,Large,CE,Any,FEF p.234,,
Spider,0    ,Beast,N/A,Tiny,Any,Any,MM p.337,,
Spider thief,2    ,Construct,N/A,Small,Un,Any,ToB p.366,,
Spy,1    ,Humanoid,Any,Medium,Any,Any,MM p.349,,
Steam golem,13    ,Construct,N/A,Large,Un,Any,ToB p.237,,
Stirge, 1/8,Beast,N/A,Tiny,Un,Any,MM p.284,,
Stone golem,10    ,Construct,N/A,Large,Un,Any,MM p.170,,
Stone guardian golem,2    ,Construct,N/A,Medium,Un,Any,FEF p.128,,
Strahd's animated armor,6    ,Construct,N/A,Medium,LE,Any,CoS p.227,,
Swarm of cranium rats,5    ,Beast,N/A,Medium (tiny),LE,Any,VGtM p.133,,
Swarm of insects, 1/2,Beast,N/A,Medium (tiny),Un,Any,MM p.338,,
Swarm of rot grubs, 1/2,Beast,N/A,Medium (tiny),Un,Any,VGtM p.208,,
Swashbuckler,3    ,Humanoid,Any,Medium,Any-C,Any,VGtM p.217,,
Tanarukk,5    ,Fiend,Demon/orc,Medium,CE,Any,VGtM p.186,,
Temporal crawler,2    ,Aberration,N/A,Medium,NE,Any,FEF p.223,,
Thug, 1/2,Humanoid,Any,Medium,Non-G,Any,MM p.350,,
Tosculi drone, 1/2,Monstrosity,N/A,Small,LE,Any,"ToB p.384, 386",,
Tosculi elite bow raider,5    ,Humanoid,Tosculi,Medium,LE,Any,"ToB p.384, 386",,
Tosculi hive-queen,12    ,Monstrosity,N/A,Large,LE,Any,ToB p.384-385,,
Tosculi warrior,2    ,Monstrosity,N/A,Small,LE,Any,"ToB p.384, 386",,
Transmuter,5    ,Humanoid,Any,Medium,Any,Any,VGtM p.218,,
Treacle, 1/4,Ooze,N/A,Tiny,Un,Any,ToB p.387,,
Tressym,0    ,Beast,N/A,Tiny,CN,Any,SKT p.242-243,,
Ultraloth,13    ,Fiend,Yugoloth,Medium,NE,Any,MM p.314,,
Veteran,3    ,Humanoid,Any,Medium,Any,Any,MM p.350,,
Vicious blood hawk, 1/4,Monstrosity,N/A,Small,Un,Any,FEF p.27,,
War priest,9    ,Humanoid,Any,Medium,Any,Any,VGtM p.218,,
Warhorse skeleton, 1/2,Undead,N/A,Large,LE,Any,MM p.273,,
Warlock of the archfey,4    ,Humanoid,Any,Medium,Any,Any,VGtM p.219,,
Warlock of the fiend,7    ,Humanoid,Any,Medium,Any,Any,VGtM p.219,,
Warlock of the great old one,6    ,Humanoid,Any,Medium,Any,Any,VGtM p.220,,
Warlord,12    ,Humanoid,Any,Medium,Any,Any,VGtM p.220,,
Were-mist,2    ,Aberration,N/A,Large,CE,Any,FEF p.245,,
Witchlight, 1/4,Construct,N/A,Tiny,N,Any,ToB p.409,,
Wolf reaver dwarf,3    ,Humanoid,Dwarf,Medium,Any-C,Any,ToB p.426,,
Wooden golem,3    ,Construct,N/A,Medium,Un,Any,FEF p.129,,
Wormhearted suffragan,5    ,Undead,N/A,Medium,CE,Any,ToB p.410,,
Ychen bannog,11    ,Beast,N/A,Gargantuan,Un,Any,ToB p.413,,
Zombie, 1/4,Undead,N/A,Medium,NE,Any,MM p.316,,
Zombie raven,0    ,Undead,N/A,Tiny,CE,Any,FEF p.252,,
