Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Accursed defiler,4    ,Undead,N/A,Medium,NE,"Desert, Special",ToB p.12,,
Aerial servant,9    ,Fiend,N/A,Medium,N,"Desert, Grassland, Mountain",FEF p.7,,
Air elemental,5    ,Elemental,N/A,Large,N,"Desert, Mountain, Special",MM p.124,,
Air elemental myrmidon,7    ,Elemental,N/A,Medium,N,"Desert, Mountain, Special",PotA p.212,,
Al-aeshma,9    ,Elemental,Genie,Large,CE,"Desert, Special",ToB p.211,,
Androsphinx,17    ,Monstrosity,N/A,Large,LN,Desert,MM p.281,,
Angatra,6    ,Undead,N/A,Medium,NE,"Desert, Special, Swamp, Underdark",ToB p.19,,
Ant lion,4    ,Beast,N/A,Large,Un,Desert,FEF p.11,,
Anubian,2    ,Elemental,N/A,Medium,CE,"Desert, Special, Underdark",ToB p.24,,
Black dracolisk,7    ,Dragon,N/A,Large,Un,"Desert, Swamp, Underdark",FEF p.85,,
"Blue dracolich, adult",17    ,Undead,Dragon,Huge,LE,Desert,MM p.84,,
Blue dracolisk,7    ,Dragon,N/A,Large,Un,"Desert, Mountain, Underdark",FEF p.85,,
"Blue dragon, adult",16    ,Dragon,N/A,Huge,LE,"Coastal, Desert",MM p.91,,
"Blue dragon, ancient",23    ,Dragon,N/A,Gargantuan,LE,"Coastal, Desert",MM p.90,,
"Blue dragon, wyrmling",3    ,Dragon,N/A,Medium,LE,"Coastal, Desert",MM p.91,,
"Blue dragon, young",9    ,Dragon,N/A,Large,LE,"Coastal, Desert",MM p.91,,
"Brass dragon, adult",13    ,Dragon,N/A,Huge,CG,Desert,MM p.105,,
"Brass dragon, ancient",20    ,Dragon,N/A,Gargantuan,CG,Desert,MM p.104,,
"Brass dragon, wyrmling",1    ,Dragon,N/A,Medium,CG,Desert,MM p.106,,
"Brass dragon, young",6    ,Dragon,N/A,Large,CG,Desert,MM p.105,,
Cactid,3    ,Plant,N/A,Large,Un,Desert,ToB p.50,,
Camel, 1/8,Beast,N/A,Large,Un,Desert,MM p.320,,
Cat,0    ,Beast,N/A,Tiny,Un,"Desert, Forest, Grassland, Urban",MM p.320,,
Chelicerae,7    ,Aberration,N/A,Large,NE,"Desert, Forest, Mountain, Special, Urban",ToB p.54,,
Clamor,2    ,Aberration,Extraplanar/incorporeal,Medium,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.62,,
Constrictor snake, 1/4,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underwater",MM p.320,,
Corpse rook,4    ,Monstrosity,N/A,Large,NE,"Desert, Grassland, Hill",FEF p.66,,
Couatl,4    ,Celestial,N/A,Medium,LG,"Desert, Forest, Grassland, Urban",MM p.43,,
Dau,4    ,Fey,N/A,Small,CN,Desert,ToB p.70,,
Denizen of leng,5    ,Aberration,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Mountain",FEF p.83,,
Desert giant,9    ,Giant,N/A,Huge,N,Desert,ToB p.222,,
Dorreq,4    ,Aberration,N/A,Medium,NE,"Coastal, Desert, Mountain, Swamp, Underdark",ToB p.124,,
Dune mimic,8    ,Monstrosity,Shapechanger,Huge,N,"Desert, Mountain",ToB p.162,,
Dust digger,3    ,Aberration,N/A,Large,Un,Desert,FEF p.88,,
Dust goblin, 1/4,Humanoid,Goblinoid,Small,NE,"Desert, Special",ToB p.232,,
Dust mephit, 1/2,Elemental,N/A,Small,NE,"Desert, Special",MM p.215,,
Edimmu,4    ,Undead,N/A,Medium,CE,"Desert, Grassland",ToB p.165,,
Efreeti,11    ,Elemental,Genie,Large,LE,"Desert, Special",MM p.145,,
Encephalon gorger,4    ,Aberration,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Mountain",FEF p.94,,
Eternal flame guardian,2    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.200,,
Eternal flame priest,3    ,Humanoid,Human,Medium,NE,"Desert, Forest, Grassland, Hill",PotA p.200-201,,
Feathergale knight,1    ,Humanoid,Human,Medium,LE,"Coastal, Desert, Grassland, Mountain",PotA p.189,,
Fire drake,1    ,Dragon,N/A,Small,CE,"Desert, Hill, Mountain",FEF p.86,,
Fire elemental,5    ,Elemental,N/A,Large,N,"Desert, Special",MM p.125,,
Fire elemental myrmidon,7    ,Elemental,N/A,Medium,N,"Desert, Special",PotA p.213,,
Flamewrath,6    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.201,,
Flying snake, 1/8,Beast,N/A,Tiny,Un,"Desert, Forest, Grassland, Urban",MM p.322,,
Fungus gargoyle,3    ,Plant,Fungus,Medium,NE,"Desert, Forest, Grassland, Hill, Underdark",FEF p.114,,
Gbahali,6    ,Beast,N/A,Huge,Un,"Desert, Grassland, Hill, Mountain",ToB p.209,,
Giant ant exoskeleton, 1/2,Construct,N/A,Large,Un,"Desert, Grassland",FEF p.95,,
Giant beetle exoskeleton,2    ,Construct,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.96,,
Giant constrictor snake,2    ,Beast,N/A,Huge,Un,"Desert, Forest, Swamp, Underdark, Underwater",MM p.324,,
Giant crab exoskeleton,3    ,Construct,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.97,,
Giant hyena,1    ,Beast,N/A,Large,Un,"Desert, Forest, Grassland, Hill",MM p.326,,
Giant lizard, 1/4,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.326,,
Giant scorpion,3    ,Beast,N/A,Large,Un,Desert,MM p.327,,
Giant spider,1    ,Beast,N/A,Large,Un,"Desert, Forest, Swamp, Underdark, Urban",MM p.328,,
Giant toad,1    ,Beast,N/A,Large,Un,"Coastal, Desert, Forest, Swamp, Underdark",MM p.329,,
Giant vulture,1    ,Beast,N/A,Large,NE,"Desert, Grassland",MM p.329,,
Giant wolf spider, 1/4,Beast,N/A,Medium,Un,"Coastal, Desert, Forest, Grassland, Hill",MM p.330,,
Gray thirster,2    ,Undead,N/A,Medium,NE,Desert,ToB p.238,,
Greater basilisk,5    ,Monstrosity,N/A,Large,NE,Desert,FEF p.22,,
Greater death dog,1    ,Monstrosity,N/A,Medium,NE,Desert,MM p.321,,
Guardian naga,10    ,Monstrosity,N/A,Large,LG,"Desert, Forest, Special",MM p.234,,
Gynosphinx,11    ,Monstrosity,N/A,Large,LN,Desert,MM p.282,,
Gypsosphinx,14    ,Monstrosity,N/A,Large,NE,Desert,ToB p.359-360,,
Hieroglyphicroc,3    ,Undead,N/A,Large,LE,"Desert, Special",FEF p.143,,
Hobgoblin, 1/2,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin captain,3    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.186,,
Hobgoblin devastator,4    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.161,,
Hobgoblin iron shadow,2    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",VGtM p.162,,
Hobgoblin warlord,6    ,Humanoid,Goblinoid,Medium,LE,"Desert, Forest, Grassland, Hill, Underdark",MM p.187,,
Howling hatred initiate, 1/8,Humanoid,Human,Medium,NE,"Coastal, Desert, Grassland, Mountain",PotA p.190,,
Howling hatred priest,2    ,Humanoid,Human,Medium,NE,"Coastal, Desert, Grassland, Mountain",PotA p.190-191,,
Hurricane,2    ,Humanoid,Human,Medium,LE,"Coastal, Desert, Grassland, Mountain",PotA p.191,,
Hyaenodon,1    ,Beast,N/A,Large,Un,"Desert, Grassland, Hill",FEF p.184,,
Hyena,0    ,Beast,N/A,Medium,Un,"Desert, Forest, Grassland, Hill",MM p.331,,
Idolic deity,8    ,Construct,N/A,Small,NE,"Desert, Special, Swamp, Underdark",ToB p.255,,
Igniguana,1    ,Elemental,N/A,Medium,Un,"Desert, Special, Underdark",FEF p.148,,
Imy-ut ushabti,3    ,Monstrosity,N/A,Medium,N,Desert,ToB p.256,,
J'ba fofi spider,3    ,Beast,N/A,Large,Un,"Desert, Forest, Hill",ToB p.362,,
Jackal,0    ,Beast,N/A,Small,Un,"Desert, Grassland",MM p.331,,
Jackal of darkness,1    ,Undead,N/A,Small,NE,"Desert, Special",FEF p.149,,
Jackalwere, 1/2,Humanoid,Shapechanger,Medium,CE,"Desert, Grassland",MM p.193,,
Kamadan,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Swamp",FEF p.153,,
Ki-rin,12    ,Celestial,N/A,Huge,LG,"Desert, Grassland, Mountain, Special",VGtM p.163-164,,
Lamia,4    ,Monstrosity,N/A,Large,CE,Desert,MM p.201,,
Lesser death dog, 1/2,Monstrosity,N/A,Medium,NE,Desert,FEF p.77,,
Leucrotta,3    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",VGtM p.169,,
"Leucrotta, adult",2    ,Monstrosity,N/A,Large,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
"Leucrotta, young", 1/4,Monstrosity,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Swamp",FEF p.164,,
Lion,1    ,Beast,N/A,Large,Un,"Desert, Grassland, Hill, Mountain",MM p.331,,
Lionwere,2    ,Monstrosity,Shapechanger,Large,CE,"Desert, Grassland, Underdark",FEF p.228,,
Mallqui,8    ,Undead,N/A,Medium,LN,"Desert, Mountain",ToB p.282,,
Mamura,6    ,Aberration,Fey,Small,NE,"Desert, Grassland, Special",ToB p.284,,
Medusa,6    ,Monstrosity,N/A,Medium,LE,"Desert, Swamp",MM p.214,,
Mirager,3    ,Fey,Shapechanger,Medium,NE,Desert,ToB p.291,,
Mule, 1/8,Beast,N/A,Medium,Un,"Desert, Hill, Urban",MM p.333,,
Mummy,3    ,Undead,N/A,Medium,LE,Desert,MM p.228,,
Mummy lord (in lair),16    ,Undead,N/A,Medium,LE,Desert,MM p.228-229,,
Mummy lord (not in lair),15    ,Undead,N/A,Medium,LE,Desert,MM p.229,,
Night scorpion,3    ,Beast,N/A,Large,Un,"Desert, Underdark",ToB p.340,,
Nkosi, 1/2,Humanoid,Nkosi/shapechanger,Medium,LN,"Desert, Grassland, Hill, Urban",ToB p.306-307,,
Oozasis,9    ,Ooze,N/A,Gargantuan,Un,Desert,ToB p.310,,
Phase spider,3    ,Monstrosity,N/A,Large,Un,"Desert, Forest, Grassland, Hill, Underdark, Urban",MM p.334,,
Possessed pillar,7    ,Construct,N/A,Large,Un,"Desert, Swamp",ToB p.314,,
Pseudodragon, 1/4,Dragon,N/A,Tiny,NG,"Coastal, Desert, Forest, Hill, Mountain, Urban",MM p.254,,
Purple worm,15    ,Monstrosity,N/A,Gargantuan,Un,"Desert, Underdark",MM p.255,,
Purple wormling,2    ,Monstrosity,N/A,Large,Un,"Desert, Underdark",SKT p.242,,
Pyrolisk, 1/2,Monstrosity,N/A,Small,NE,"Desert, Grassland, Underdark",FEF p.188,,
Ramag, 1/4,Humanoid,Ramag,Medium,N,"Desert, Special, Urban",ToB p.317,,
