Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Adherer,2    ,Aberration,N/A,Medium,LE,"Forest, Swamp, Underdark",FEF p.6,,
Ala,8    ,Fey,N/A,Medium,CE,"Forest, Special, Sweamp",ToB p.13,,
Algoid,3    ,Plant,N/A,Medium,N,"Forest, Swamp",FEF p.8,,
Alseid, 1/2,Monstrosity,N/A,Medium,CN,Forest,ToB p.15,,
Amphiptere,3    ,Beast,N/A,Medium,Un,"Forest, Hill, Mountain, Swamp",ToB p.16,,
Ankheg,2    ,Monstrosity,N/A,Large,Un,"Forest, Grassland",MM p.21,,
Ape, 1/2,Beast,N/A,Medium,Un,Forest,MM p.317,,
Aranea,3    ,Monstrosity,N/A,Large,CE,"Forest, Mountain, Swamp, Underdark",FEF p.13,,
Arboreal grappler,3    ,Aberration,N/A,Medium,NE,"Forest, Swamp",ToB p.25,,
Aridni,5    ,Fey,N/A,Small,NE,"Forest, Hill, Swamp",ToB p.26,,
Asanbosam,5    ,Aberration,N/A,Large,CE,"Coastal, Forest, Hill, Swamp",ToB p.27,,
Assassin bug,5    ,Beast,N/A,Medium,Un,"Forest, Hill, Swamp",FEF p.17,,
Aurumvorax,5    ,Monstrosity,N/A,Small,Un,"Coastal, Forest, Grassland, Hill",FEF p.20,,
Awakened shrub,0    ,Plant,N/A,Small,Un,Forest,MM p.317,,
Awakened tree,2    ,Plant,N/A,Huge,Un,Forest,MM p.317,,
Baboon,0    ,Beast,N/A,Small,Un,"Forest, Hill",MM p.318,,
Badger,0    ,Beast,N/A,Tiny,Un,Forest,MM p.318,,
Bagiennik,3    ,Aberration,N/A,Medium,N,"Forest, Swamp",ToB p.31,,
Banshee,4    ,Undead,N/A,Medium,CE,"Coastal, Forest",MM p.23,,
Barovian witch, 1/2,Humanoid,Human,Medium,CE,"Forest, Hill, Swamp",CoS p.229,,
Bat,0    ,Beast,N/A,Tiny,Un,"Forest, Hill, Mountain, Underdark",MM p.318,,
Bearfolk,3    ,Humanoid,Bearfolk,Medium,CG,"Arctic, Forest, Hill",ToB p.33,,
Bereginyas,4    ,Fey,N/A,Tiny,NE,"Forest, Hill, Mountain",ToB p.36,,
Berstuc,11    ,Fiend,Demon,Large,CE,"Forest, Special, Swamp",ToB p.76,,
Black bear, 1/2,Beast,N/A,Medium,Un,Forest,MM p.318,,
Black earth guard,2    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.195,,
Black earth priest,3    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.195-196,,
Blemmyes,8    ,Monstrosity,N/A,Large,CE,"Forest, Grassland, Hill, Mountain",ToB p.37,,
Blink dog, 1/4,Fey,N/A,Medium,LG,Forest,MM p.318,,
Blood hag,11    ,Fey,N/A,Medium,CE,"Forest, Special, Swamp",ToB p.242,,
Bloodsuckle,3    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.30,,
Boalisk,1    ,Beast,N/A,Large,Un,"Coastal, Forest, Swamp",FEF p.32,,
Boar, 1/4,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",MM p.319,,
Boggle, 1/8,Fey,N/A,Small,CN,"Forest, Hill, Special, Underdark, Urban",VGtM p.128,,
