Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Amphiptere,3    ,Beast,N/A,Medium,Un,"Forest, Hill, Mountain, Swamp",ToB p.16,,
Angler worm,4    ,Monstrosity,N/A,Huge,Un,"Hill, Mountain, Underdark",ToB p.22,,
Annis hag,6    ,Fey,N/A,Large,CE,"Hill, Mountain",VGtM p.159,,
Aridni,5    ,Fey,N/A,Small,NE,"Forest, Hill, Swamp",ToB p.26,,
Asanbosam,5    ,Aberration,N/A,Large,CE,"Coastal, Forest, Hill, Swamp",ToB p.27,,
Assassin bug,5    ,Beast,N/A,Medium,Un,"Forest, Hill, Swamp",FEF p.17,,
Aurumvorax,5    ,Monstrosity,N/A,Small,Un,"Coastal, Forest, Grassland, Hill",FEF p.20,,
Axe beak, 1/4,Beast,N/A,Large,Un,"Grassland, Hill",MM p.317,,
Baboon,0    ,Beast,N/A,Small,Un,"Forest, Hill",MM p.318,,
Barovian witch, 1/2,Humanoid,Human,Medium,CE,"Forest, Hill, Swamp",CoS p.229,,
Bat,0    ,Beast,N/A,Tiny,Un,"Forest, Hill, Mountain, Underdark",MM p.318,,
Bearfolk,3    ,Humanoid,Bearfolk,Medium,CG,"Arctic, Forest, Hill",ToB p.33,,
Bereginyas,4    ,Fey,N/A,Tiny,NE,"Forest, Hill, Mountain",ToB p.36,,
Biclops,6    ,Giant,N/A,Huge,N,"Hill, Mountain",FEF p.26,,
Black earth guard,2    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.195,,
Black earth priest,3    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.195-196,,
Blemmyes,8    ,Monstrosity,N/A,Large,CE,"Forest, Grassland, Hill, Mountain",ToB p.37,,
Bloodsuckle,3    ,Plant,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.30,,
Boar, 1/4,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",MM p.319,,
Boggle, 1/8,Fey,N/A,Small,CN,"Forest, Hill, Special, Underdark, Urban",VGtM p.128,,
Bone swarm,10    ,Undead,N/A,Large (tiny),CE,"Hill, Mountain",ToB p.41,,
Bonesucker,4    ,Aberration,N/A,Large,NE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.35,,
Borsin (ape centaur),3    ,Monstrosity,N/A,Large,CE,"Forest, Grassland, Hill",FEF p.36,,
Brontosaurus,5    ,Beast,N/A,Gargantuan,Un,"Forest, Grassland, Hill",VGtM p.139,,
Brontotherium,6    ,Beast,N/A,Huge,Un,"Forest, Grassland, Hill",FEF p.183,,
Brown bear,1    ,Beast,N/A,Large,Un,"Arctic, Forest, Hill",MM p.319,,
Bulette,5    ,Monstrosity,N/A,Large,Un,"Grassland, Hill, Mountain",MM p.34,,
Burrowling, 1/2,Humanoid,Burrowling,Small,LN,"Forest, Grassland, Hill",ToB p.49,,
Burrowshark,4    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.196,,
Carytid column,1    ,Construct,N/A,Medium,Un,"Forest, Grassland, Hill",FEF p.43,,
Cerebral stalker,5    ,Aberration,N/A,Medium,CE,"Coastal, Forest, Grassland, Hill, Mountain",FEF p.53,,
Chain worm,12    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.54,,
Chaos knight,4    ,Fiend,N/A,Medium,CE,"Forest, Grassland, Hill",FEF p.55,,
Child of the briar,1    ,Plant,N/A,Tiny,NE,"Forest, Hill, Special",ToB p.56,,
Chimera,6    ,Monstrosity,N/A,Large,CE,"Grassland, Hill, Mountain, Underdark",MM p.39,,
Chupacabra,1    ,Humanoid,N/A,Small,CN,"Forest, Hill, Swamp, Urban",FEF p.56,,
Clamor,2    ,Aberration,Extraplanar/incorporeal,Medium,Un,"Desert, Forest, Grassland, Hill, Mountain",FEF p.62,,
Coffer corpse,2    ,Undead,N/A,Medium,CE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.64,,
"Copper dragon, adult",14    ,Dragon,N/A,Huge,CG,Hill,MM p.111,,
"Copper dragon, ancient",21    ,Dragon,N/A,Gargantuan,CG,Hill,MM p.110,,
"Copper dragon, wyrmling",1    ,Dragon,N/A,Medium,CG,Hill,MM p.112,,
"Copper dragon, young",7    ,Dragon,N/A,Large,CG,Hill,MM p.111,,
Corpse rook,4    ,Monstrosity,N/A,Large,NE,"Desert, Grassland, Hill",FEF p.66,,
Crimson drake,1    ,Dragon,N/A,Tiny,CE,"Forest, Hill, Mountain",ToB p.151,,
Death worm,3    ,Monstrosity,N/A,Large,Un,"Forest, Grassland, Hill",FEF p.78,,
Deinonychus,1    ,Beast,N/A,Medium,Un,"Forest, Grassland, Hill",VGtM p.139,,
Denizen of leng,5    ,Aberration,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Mountain",FEF p.83,,
Dire wolf,1    ,Beast,N/A,Large,Un,"Forest, Hill",MM p.321,,
Eagle,0    ,Beast,N/A,Small,Un,"Coastal, Grassland, Hill, Mountain",MM p.322,,
Elk, 1/4,Beast,N/A,Large,Un,"Forest, Grassland, Hill",MM p.322,,
Elusa hound,1    ,Monstrosity,N/A,Medium,Un,"Forest, Grassland, Hill",FEF p.93,,
Encephalon gorger,4    ,Aberration,N/A,Medium,CE,"Desert, Forest, Grassland, Hill, Mountain",FEF p.94,,
Erina defender,1    ,Humanoid,Erina,Small,N,"Forest, Grassland, Hill, Mountain, Urban",ToB p.178,,
Erina scrounger, 1/4,Humanoid,Erina,Small,N,"Forest, Grassland, Hill, Mountain, Urban",ToB p.178,,
Eternal flame guardian,2    ,Humanoid,Human,Medium,CE,"Desert, Forest, Grassland, Hill",PotA p.200,,
Eternal flame priest,3    ,Humanoid,Human,Medium,NE,"Desert, Forest, Grassland, Hill",PotA p.200-201,,
Ettin,4    ,Giant,N/A,Large,CE,"Hill, Mountain, Underdark",MM p.132,,
Fetch,1    ,Undead,N/A,Medium,LE,"Arctic, Hill, Mountain",FEF p.100,,
Fire drake,1    ,Dragon,N/A,Small,CE,"Desert, Hill, Mountain",FEF p.86,,
Flab giant,4    ,Giant,N/A,Large,CE,"Forest, Grassland, Hill, Mountain, Swamp",ToB p.223,,
"Flame dragon, adult",16    ,Dragon,N/A,Huge,CE,"Hill, Mountain","ToB p.128, 129-130, 131",,
