Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Adherer,2    ,Aberration,N/A,Medium,LE,"Forest, Swamp, Underdark",FEF p.6,,
Algoid,3    ,Plant,N/A,Medium,N,"Forest, Swamp",FEF p.8,,
Amphiptere,3    ,Beast,N/A,Medium,Un,"Forest, Hill, Mountain, Swamp",ToB p.16,,
Andrenjinyi,15    ,Celestial,N/A,Gargantuan,N,"Coastal, Special, Swamp, Underwater",ToB p.17-18,,
Angatra,6    ,Undead,N/A,Medium,NE,"Desert, Special, Swamp, Underdark",ToB p.19,,
Aranea,3    ,Monstrosity,N/A,Large,CE,"Forest, Mountain, Swamp, Underdark",FEF p.13,,
Arboreal grappler,3    ,Aberration,N/A,Medium,NE,"Forest, Swamp",ToB p.25,,
Aridni,5    ,Fey,N/A,Small,NE,"Forest, Hill, Swamp",ToB p.26,,
Asanbosam,5    ,Aberration,N/A,Large,CE,"Coastal, Forest, Hill, Swamp",ToB p.27,,
Assassin bug,5    ,Beast,N/A,Medium,Un,"Forest, Hill, Swamp",FEF p.17,,
Baba lysaga,11    ,Humanoid,Human/shapechanger,Medium,CE,"Special, Swamp",CoS p.228,,
Baba lysaga's creeping hut,11    ,Construct,N/A,Gargantuan,Un,"Special, Swamp",CoS p.226,,
Bagiennik,3    ,Aberration,N/A,Medium,N,"Forest, Swamp",ToB p.31,,
Barovian witch, 1/2,Humanoid,Human,Medium,CE,"Forest, Hill, Swamp",CoS p.229,,
Behtu,2    ,Humanoid,N/A,Small,CE,"Mountain, Special, Swamp",ToB p.34,,
Berstuc,11    ,Fiend,Demon,Large,CE,"Forest, Special, Swamp",ToB p.76,,
Black dracolisk,7    ,Dragon,N/A,Large,Un,"Desert, Swamp, Underdark",FEF p.85,,
"Black dragon, adult",14    ,Dragon,N/A,Huge,CE,Swamp,MM p.88,,
"Black dragon, ancient",21    ,Dragon,N/A,Gargantuan,CE,Swamp,MM p.87,,
"Black dragon, wyrmling",2    ,Dragon,N/A,Medium,CE,Swamp,MM p.88,,
"Black dragon, young",7    ,Dragon,N/A,Large,CE,Swamp,MM p.88,,
Black earth guard,2    ,Humanoid,Human,Medium,NE,"Forest, Hill, Mountain, Swamp",PotA p.195,,
