Monster,CR,Type,Subtype,Size,Align,Terrain,Sourcebook,,
Aboleth,10    ,Aberration,N/A,Large,LE,"Special, Underdark, Underwater",MM p.13,,
Adherer,2    ,Aberration,N/A,Medium,LE,"Forest, Swamp, Underdark",FEF p.6,,
Alhoon,10    ,Undead,N/A,Medium,Any-E,Underdark,VGtM p.171-172,,
Angatra,6    ,Undead,N/A,Medium,NE,"Desert, Special, Swamp, Underdark",ToB p.19,,
Angler worm,4    ,Monstrosity,N/A,Huge,Un,"Hill, Mountain, Underdark",ToB p.22,,
Anubian,2    ,Elemental,N/A,Medium,CE,"Desert, Special, Underdark",ToB p.24,,
Aranea,3    ,Monstrosity,N/A,Large,CE,"Forest, Mountain, Swamp, Underdark",FEF p.13,,
Arcanoplasm,4    ,Monstrosity,N/A,Large,N,Underdark,FEF p.14,,
Ascomoid,3    ,Plant,Fungus,Large,Un,Underdark,FEF p.16,,
Awakened zurkhwood,2    ,Plant,N/A,Huge,Un,Underdark,"MM p.317, OotA p.230",,
Babau,4    ,Fiend,Demon,Medium,CE,"Special, Underdark, Urban",VGtM p.136,,
Bat,0    ,Beast,N/A,Tiny,Un,"Forest, Hill, Mountain, Underdark",MM p.318,,
Beggar ghoul, 1/2,Undead,N/A,Medium,CE,"Special, Underdark, Urban",ToB p.213,,
Behir,11    ,Monstrosity,N/A,Huge,NE,"Mountain, Underdark",MM p.25,,
Beholder (in lair),14    ,Aberration,N/A,Large,LE,"Mountain, Special, Underdark",MM p.27-28,,
Beholder (not in lair),13    ,Aberration,N/A,Large,LE,"Mountain, Special, Underdark",MM p.28,,
Black dracolisk,7    ,Dragon,N/A,Large,Un,"Desert, Swamp, Underdark",FEF p.85,,
Black pudding,4    ,Ooze,N/A,Large,Un,Underdark,MM p.241,,
Blood orchid,5    ,Aberration,N/A,Large,CE,Underdark,FEF p.28,,
Blood orchid grand savant,9    ,Aberration,N/A,Large,LE,Underdark,FEF p.29,,
Blood orchid savant,7    ,Aberration,N/A,Huge,LE,Underdark,FEF p.28,,
Blood pudding,2    ,Ooze,N/A,Medium,Un,"Swamp, Underdark",FEF p.187,,
Bloody bones,2    ,Undead,N/A,Medium,CE,"Underdark, Urban",FEF p.31,,
Blue dracolisk,7    ,Dragon,N/A,Large,Un,"Desert, Mountain, Underdark",FEF p.85,,
Boggle, 1/8,Fey,N/A,Small,CN,"Forest, Hill, Special, Underdark, Urban",VGtM p.128,,
Bone cobbler,2    ,Aberration,N/A,Medium,CE,Underdark,FEF p.33,,
Bone naga,4    ,Undead,N/A,Large,LE,"Special, Underdark",MM p.233,,
Bonesucker,4    ,Aberration,N/A,Large,NE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.35,,
Bridesmaid of zuggtmoy, 1/8,Plant,N/A,Medium,CE,Underdark,OotA p.230,,
Bucca, 1/2,Fey,N/A,Tiny,NE,Underdark,ToB p.46,,
Bugbear,1    ,Humanoid,Goblinoid,Medium,CE,"Forest, Grassland, Underdark",MM p.33,,
Bugbear chief,3    ,Humanoid,Goblinoid,Medium,CE,"Forest, Grassland, Underdark",MM p.33,,
Carrion beetle,4    ,Beast,N/A,Large,N,"Special, Underdark",ToB p.52,,
Carrion crawler,2    ,Monstrosity,N/A,Large,Un,"Special, Swamp, Underdark",MM p.37,,
Cave cricket, 1/4,Beast,N/A,Small,Un,Underdark,FEF p.48,,
"Cave dragon, adult",16    ,Dragon,N/A,Huge,NE,Underdark,ToB p.125-127,,
"Cave dragon, wyrmling",2    ,Dragon,N/A,Medium,NE,Underdark,"ToB p.125, 127",,
"Cave dragon, young",8    ,Dragon,N/A,Large,NE,Underdark,"ToB p.125, 127",,
Cave eel, 1/4,Beast,N/A,Medium,Un,Underdark,FEF p.49,,
Cave leech,6    ,Beast,N/A,Large,CE,Underdark,FEF p.51,,
Cavelight moss,4    ,Plant,N/A,Large,N,Underdark,ToB p.53,,
Chain worm,12    ,Beast,N/A,Large,Un,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.54,,
Chamberlain of zuggtmoy,2    ,Plant,N/A,Large,CE,Underdark,OotA p.230-231,,
Chimera,6    ,Monstrosity,N/A,Large,CE,"Grassland, Hill, Mountain, Underdark",MM p.39,,
Chitine, 1/2,Monstrosity,N/A,Small,CE,Underdark,VGtM p.131,,
Choldrith,3    ,Monstrosity,N/A,Medium,CE,Underdark,VGtM p.132,,
Chuul,4    ,Aberration,N/A,Large,CE,"Special, Underdark",MM p.40,,
Chuul spore servant,4    ,Plant,N/A,Large,Un,Underdark,OotA p.228,,
Cloaker,8    ,Aberration,N/A,Large,CN,Underdark,MM p.41,,
Cobbleswarm,2    ,Monstrosity,N/A,Medium (tiny),Un,"Special, Underdark, Urban",ToB p.68,,
Coffer corpse,2    ,Undead,N/A,Medium,CE,"Forest, Grassland, Hill, Swamp, Underdark",FEF p.64,,
Crimson basilisk,3    ,Monstrosity,N/A,Medium,Un,Underdark,FEF p.21,,
Crimson mist,7    ,Aberration,N/A,Medium,NE,"Swamp, Underdark",FEF p.71,,
Crypt thing,3    ,Undead,N/A,Medium,N,"Special, Underdark",FEF p.72,,
Dao,11    ,Elemental,Genie,Large,NE,"Special, Underdark",MM p.143,,
Darakhul ghoul,3    ,Undead,N/A,Medium,NE,"Special, Underdark, Urban",ToB p.216,,
Dark creeper, 1/4,Humanoid,N/A,Small,CN,Underdark,FEF p.74,,
Dark stalker,2    ,Humanoid,N/A,Medium,CN,Underdark,FEF p.74,,
Darkling, 1/2,Fey,N/A,Small,CN,"Forest, Special, Swamp, Underdark, Urban",VGtM p.134,,
Darkling elder,2    ,Fey,N/A,Medium,CN,"Forest, Special, Swamp, Underdark, Urban",VGtM p.134,,
Darkmantle, 1/2,Monstrosity,N/A,Small,Un,Underdark,MM p.46,,
Death kiss,10    ,Aberration,N/A,Large,NE,"Mountain, Special, Underdark",VGtM p.124,,
Death tyrant (in lair),15    ,Undead,N/A,Large,LE,"Mountain, Special, Underdark","MM p.27, 29",,
Death tyrant (not in lair),14    ,Undead,N/A,Large,LE,"Mountain, Special, Underdark",MM p.29,,
Deathcap myconid,4    ,Plant,N/A,Medium,NE,Underdark,ToB p.300,,
Decapus,2    ,Aberration,N/A,Medium,CE,"Forest, Special, Underdark",FEF p.79,,
Deep drake,9    ,Dragon,N/A,Large,CE,Underdark,ToB p.152,,
Deep gnome (svirfneblin), 1/2,Humanoid,Gnome,Small,NG,Underdark,MM p.164,,
Derro, 1/4,Humanoid,Derro,Small,CE,Underdark,OotA p.224,,
Derro fetal savant,4    ,Humanoid,N/A,Tiny,CE,Underdark,ToB p.92,,
Derro savant,3    ,Humanoid,Derro,Small,CE,Underdark,OotA p.224-225,,
