Adherer,450,Aberration,Medium,LE
Ala,3900,Fey,Medium,CE
Algoid,700,Plant,Medium,N
Alseid,100,Monstrosity,Medium,CN
Amphiptere,700,Beast,Medium,Un
Ankheg,450,Monstrosity,Large,Un
Ape,100,Beast,Medium,Un
Aranea,700,Monstrosity,Large,CE
Arboreal grappler,700,Aberration,Medium,NE
Aridni,1800,Fey,Small,NE
Asanbosam,1800,Aberration,Large,CE
Assassin bug,1800,Beast,Medium,Un
Aurumvorax,1800,Monstrosity,Small,Un
Awakened tree,450,Plant,Huge,Un
Bagiennik,700,Aberration,Medium,N
Banshee,1100,Undead,Medium,CE
Barovian witch,100,Humanoid,Medium,CE
Bearfolk,700,Humanoid,Medium,CG
Bereginyas,1100,Fey,Tiny,NE
Berstuc,7200,Fiend,Large,CE
Black bear,100,Beast,Medium,Un
Black earth guard,450,Humanoid,Medium,NE
Black earth priest,700,Humanoid,Medium,NE
Blemmyes,3900,Monstrosity,Large,CE
Blink dog,50,Fey,Medium,LG
Blood hag,7200,Fey,Medium,CE
Bloodsuckle,700,Plant,Large,Un
Boalisk,200,Beast,Large,Un
Boar,50,Beast,Medium,Un
Boggle,25,Fey,Small,CN
Bonesucker,1100,Aberration,Large,NE
Borsin (ape centaur),700,Monstrosity,Large,CE
Brontosaurus,1800,Beast,Gargantuan,Un
Brontotherium,2300,Beast,Huge,Un
Brown bear,200,Beast,Large,Un
Bugbear,200,Humanoid,Medium,CE
Bugbear chief,700,Humanoid,Medium,CE
Bukavac,5000,Monstrosity,Large,NE
Burrowling,100,Humanoid,Small,LN
Burrowshark,1100,Humanoid,Medium,NE
Carbuncle,25,Aberration,Small,Un
Carytid column,200,Construct,Medium,Un
Centaur,450,Monstrosity,Large,NG
Cerebral stalker,1800,Aberration,Medium,CE
Chain worm,8400,Beast,Large,Un
Chaos knight,1100,Fiend,Medium,CE
Chelicerae,2900,Aberration,Large,NE
Child of the briar,200,Plant,Tiny,NE
Chupacabra,200,Humanoid,Small,CN
Churr,1100,Monstrosity,Large,NE
Clamor,450,Aberration,Medium,Un
Cobra flower,450,Plant,Large,Un
Coffer corpse,450,Undead,Medium,CE
Constrictor snake,50,Beast,Large,Un
Cooshee,200,Monstrosity,Medium,NG
Couatl,1100,Celestial,Medium,LG
Crag cat,200,Beast,Large,Un
Crimson drake,200,Dragon,Tiny,CE
Crushing wave priest,450,Humanoid,Medium,NE
Crushing wave reaver,100,Humanoid,Medium,NE
Dark tide knight,700,Humanoid,Medium,LE
Darkling,100,Fey,Small,CN
