Aboleth,5900,Aberration,Large,LE
Adherer,450,Aberration,Medium,LE
Alhoon,5900,Undead,Medium,Any-E
Angatra,2300,Undead,Medium,NE
Angler worm,1100,Monstrosity,Huge,Un
Anubian,450,Elemental,Medium,CE
Aranea,700,Monstrosity,Large,CE
Arcanoplasm,1100,Monstrosity,Large,N
Ascomoid,700,Plant,Large,Un
Awakened zurkhwood,450,Plant,Huge,Un
Babau,1100,Fiend,Medium,CE
Beggar ghoul,100,Undead,Medium,CE
Behir,7200,Monstrosity,Huge,NE
Beholder (in lair),11500,Aberration,Large,LE
Beholder (not in lair),10000,Aberration,Large,LE
Black dracolisk,2900,Dragon,Large,Un
Black pudding,1100,Ooze,Large,Un
Blood orchid,1800,Aberration,Large,CE
Blood orchid grand savant,5000,Aberration,Large,LE
Blood orchid savant,2900,Aberration,Huge,LE
Blood pudding,450,Ooze,Medium,Un
Bloody bones,450,Undead,Medium,CE
Blue dracolisk,2900,Dragon,Large,Un
Boggle,25,Fey,Small,CN
Bone cobbler,450,Aberration,Medium,CE
Bone naga,1100,Undead,Large,LE
Bonesucker,1100,Aberration,Large,NE
Bridesmaid of zuggtmoy,25,Plant,Medium,CE
Bucca,100,Fey,Tiny,NE
Bugbear,200,Humanoid,Medium,CE
Bugbear chief,700,Humanoid,Medium,CE
Carrion beetle,1100,Beast,Large,N
Carrion crawler,450,Monstrosity,Large,Un
Cave cricket,50,Beast,Small,Un
"Cave dragon, adult",15000,Dragon,Huge,NE
"Cave dragon, wyrmling",450,Dragon,Medium,NE
"Cave dragon, young",3900,Dragon,Large,NE
Cave eel,50,Beast,Medium,Un
Cave leech,2300,Beast,Large,CE
Cavelight moss,1100,Plant,Large,N
Chain worm,8400,Beast,Large,Un
Chamberlain of zuggtmoy,450,Plant,Large,CE
Chimera,2300,Monstrosity,Large,CE
Chitine,100,Monstrosity,Small,CE
Choldrith,700,Monstrosity,Medium,CE
Chuul,1100,Aberration,Large,CE
Chuul spore servant,1100,Plant,Large,Un
Cloaker,3900,Aberration,Large,CN
Cobbleswarm,450,Monstrosity,Medium (tiny),Un
Coffer corpse,450,Undead,Medium,CE
Crimson basilisk,700,Monstrosity,Medium,Un
Crimson mist,2900,Aberration,Medium,NE
Crypt thing,700,Undead,Medium,N
Dao,7200,Elemental,Large,NE
Darakhul ghoul,700,Undead,Medium,NE
Dark creeper,50,Humanoid,Small,CN
Dark stalker,450,Humanoid,Medium,CN
Darkling,100,Fey,Small,CN
Darkling elder,450,Fey,Medium,CN
Darkmantle,100,Monstrosity,Small,Un
Death kiss,5900,Aberration,Large,NE
Death tyrant (in lair),13000,Undead,Large,LE
Death tyrant (not in lair),11500,Undead,Large,LE
Deathcap myconid,1100,Plant,Medium,NE
Decapus,450,Aberration,Medium,CE
Deep drake,5000,Dragon,Large,CE
Deep gnome (svirfneblin),100,Humanoid,Small,NG
Derro,50,Humanoid,Small,CE
Derro fetal savant,1100,Humanoid,Tiny,CE
Derro savant,700,Humanoid,Small,CE
Derro shadow antipaladin,1800,Humanoid,Small,CE
Devourer,10000,Fiend,Large,CE
Dipsa,50,Ooze,Tiny,Un
Dire corby,100,Monstrosity,Medium,NE
Dogmole,200,Beast,Medium,N
Dogmole juggernaut,1800,Monstrosity,Large,N
Domovoi,1100,Fey,Medium,CN
Doombat,700,Monstrosity,Large,Un
Doppelganger,700,Monstrosity,Medium,N
Doppelrat,450,Monstrosity,Tiny,Un
Dorreq,1100,Aberration,Medium,NE
Draegloth,2900,Fiend,Large,CE
Dragon eel,8400,Dragon,Huge,N
Drider,2300,Monstrosity,Large,CE
Drow,50,Humanoid,Medium,NE
Drow elite warrior,1800,Humanoid,Medium,NE
Drow mage,2900,Humanoid,Medium,NE
Drow priestess of lolth,3900,Humanoid,Medium,NE
Drow spore servant,25,Plant,Medium,Un
Duergar,200,Humanoid,Medium,LE
Duergar darkhaft,450,Humanoid,Medium,LE
Duergar kavalrachni,450,Humanoid,Medium,LE
